2017-11-08,3,Second Class,3850812,Bush Somerset Collection Bookcase,Furniture,Bookcases,Claire Gute,42,Middle-aged,Consumer,South,Kentucky,Henderson
2017-11-08,3,Second Class,10869309,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,Claire Gute,42,Middle-aged,Consumer,South,Kentucky,Henderson
2017-06-12,4,Second Class,217107,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,Darrin Van Huff,47,Middle-aged,Corporate,West,California,Los Angeles
2016-10-11,7,Standard Class,14076388.76,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,Sean O'Donnell,19,Young,Consumer,South,Florida,Fort Lauderdale
2016-10-11,7,Standard Class,325454.4,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,Sean O'Donnell,19,Young,Consumer,South,Florida,Fort Lauderdale
2015-06-09,5,Standard Class,718242,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,Brosina Hoffman,39,Middle-aged,Consumer,West,California,Los Angeles
2015-06-09,5,Standard Class,107016,Newell 322,Office Supplies,Art,Brosina Hoffman,39,Middle-aged,Consumer,West,California,Los Angeles
2015-06-09,5,Standard Class,13335134.4,Mitel 5320 IP Phone VoIP phone,Technology,Phones,Brosina Hoffman,39,Middle-aged,Consumer,West,California,Los Angeles
2015-06-09,5,Standard Class,272008.8,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,Brosina Hoffman,39,Middle-aged,Consumer,West,California,Los Angeles
2015-06-09,5,Standard Class,1706265,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,Brosina Hoffman,39,Middle-aged,Consumer,West,California,Los Angeles
2015-06-09,5,Standard Class,25336832.4,Chromcraft Rectangular Conference Tables,Furniture,Tables,Brosina Hoffman,39,Middle-aged,Consumer,West,California,Los Angeles
2015-06-09,5,Standard Class,13261219.2,Konftel 250 ConferenceÂ phoneÂ - Charcoal black,Technology,Phones,Brosina Hoffman,39,Middle-aged,Consumer,West,California,Los Angeles
2018-04-15,5,Standard Class,228614.4,Xerox 1967,Office Supplies,Paper,Andrew Allen,31,Middle-aged,Consumer,South,North Carolina,Concord
2017-12-05,5,Standard Class,5997247.2,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,Irene Maddox,45,Middle-aged,Consumer,West,Washington,Seattle
2016-11-22,4,Standard Class,1011507,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances,Harold Pawlan,38,Middle-aged,Home Office,Central,Texas,Fort Worth
2016-11-22,4,Standard Class,37015.2,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders,Harold Pawlan,38,Middle-aged,Home Office,Central,Texas,Fort Worth
2015-11-11,7,Standard Class,9788436,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,Pete Kriz,38,Middle-aged,Consumer,Central,Wisconsin,Madison
2015-05-13,2,Second Class,824175,Fellowes Super Stor/Drawer,Office Supplies,Storage,Alejandro Grove,36,Middle-aged,Consumer,West,Utah,West Jordan
2015-08-27,5,Second Class,127116,Newell 341,Office Supplies,Art,Zuschuss Donatelli,19,Young,Consumer,West,California,San Francisco
2015-08-27,5,Second Class,3106134,Cisco SPA 501G IP Phone,Technology,Phones,Zuschuss Donatelli,19,Young,Consumer,West,California,San Francisco
2015-08-27,5,Second Class,330576,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders,Zuschuss Donatelli,19,Young,Consumer,West,California,San Francisco
2017-12-09,4,Standard Class,283143,Newell 318,Office Supplies,Art,Ken Black,29,Young,Corporate,Central,Nebraska,Fremont
2017-12-09,4,Standard Class,896049,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances,Ken Black,29,Young,Corporate,Central,Nebraska,Fremont
2018-07-16,2,Second Class,1049168.4,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs,Sandra Flanagan,45,Middle-aged,Consumer,East,Pennsylvania,Philadelphia
2016-09-25,5,Standard Class,15356061,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,Emily Burns,48,Middle-aged,Consumer,West,Utah,Orem
2017-01-16,4,Second Class,171225.6,Wilson Jones Active Use Binders,Office Supplies,Binders,Eric Hoffmann,45,Middle-aged,Consumer,West,California,Los Angeles
2017-01-16,4,Second Class,1317793.5,ImationÂ 8GB Mini TravelDrive USB 2.0Â Flash Drive,Technology,Accessories,Eric Hoffmann,45,Middle-aged,Consumer,West,California,Los Angeles
2016-09-17,4,Standard Class,45326419.04,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,Tracy Blumstein,23,Young,Consumer,East,Pennsylvania,Philadelphia
2016-09-17,4,Standard Class,141384.6,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders,Tracy Blumstein,23,Young,Consumer,East,Pennsylvania,Philadelphia
2016-09-17,4,Standard Class,1807110,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,Tracy Blumstein,23,Young,Consumer,East,Pennsylvania,Philadelphia
2016-09-17,4,Standard Class,47980.8,Poly String Tie Envelopes,Office Supplies,Envelopes,Tracy Blumstein,23,Young,Consumer,East,Pennsylvania,Philadelphia
2016-09-17,4,Standard Class,1268668.8,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,Art,Tracy Blumstein,23,Young,Consumer,East,Pennsylvania,Philadelphia
2016-09-17,4,Standard Class,101841.3,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders,Tracy Blumstein,23,Young,Consumer,East,Pennsylvania,Philadelphia
2016-09-17,4,Standard Class,229308,Lumber Crayons,Office Supplies,Art,Tracy Blumstein,23,Young,Consumer,East,Pennsylvania,Philadelphia
2018-10-19,4,Second Class,433238.4,Easy-staple paper,Office Supplies,Paper,Matt Abelman,26,Young,Home Office,Central,Texas,Houston
2017-12-08,2,First Class,16298528.4,GE 30524EE4,Technology,Phones,Gene Hale,33,Middle-aged,Corporate,Central,Texas,Richardson
2017-12-08,2,First Class,2835162,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings,Gene Hale,33,Middle-aged,Corporate,Central,Texas,Richardson
2016-12-27,4,Standard Class,1665921.6,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Envelopes,Steve Nguyen,22,Young,Home Office,Central,Texas,Houston
2016-12-27,4,Standard Class,7746408.36,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,Steve Nguyen,22,Young,Home Office,Central,Texas,Houston
2016-12-27,4,Standard Class,3117252.6,"Global Fabric Manager's Chair, Dark Gray",Furniture,Chairs,Steve Nguyen,22,Young,Home Office,Central,Texas,Houston
2016-12-27,4,Standard Class,5511844.8,Plantronics HL10 Handset Lifter,Technology,Phones,Steve Nguyen,22,Young,Home Office,Central,Texas,Houston
2018-09-10,5,Standard Class,2163369.6,Panasonic Kx-TS550,Technology,Phones,Linda Cazamias,45,Middle-aged,Corporate,Central,Illinois,Naperville
2017-07-17,5,Standard Class,1133154,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage,Ruben Ausman,32,Middle-aged,Corporate,West,California,Los Angeles
2018-09-19,4,Standard Class,1419897.6,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,Storage,Erin Smith,32,Middle-aged,Corporate,South,Florida,Melbourne
2017-03-11,2,First Class,669009,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,Accessories,Odella Nelson,30,Young,Corporate,Central,Minnesota,Eagan
2017-03-11,2,First Class,259281,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Binders,Odella Nelson,30,Young,Corporate,Central,Minnesota,Eagan
2015-10-20,5,Second Class,3084018,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,Storage,Patrick O'Donnell,48,Middle-aged,Consumer,Central,Michigan,Westland
2017-06-20,5,Standard Class,654750,ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive,Technology,Accessories,Lena Hernandez,40,Middle-aged,Consumer,East,Delaware,Dover
2017-06-20,5,Standard Class,323730,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,Phones,Lena Hernandez,40,Middle-aged,Consumer,East,Delaware,Dover
2016-04-18,4,Standard Class,561834,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Office Supplies,Binders,Darren Powers,28,Young,Consumer,Central,Indiana,New Albany
2016-04-18,4,Standard Class,1105146,Avery 485,Office Supplies,Labels,Darren Powers,28,Young,Consumer,Central,Indiana,New Albany
2016-04-18,4,Standard Class,90552,Longer-Life Soft White Bulbs,Furniture,Furnishings,Darren Powers,28,Young,Consumer,Central,Indiana,New Albany
2016-04-18,4,Standard Class,1336351.5,"Global Leather Task Chair, Black",Furniture,Chairs,Darren Powers,28,Young,Consumer,Central,Indiana,New Albany
2017-12-11,6,Standard Class,226611,Advantus Push Pins,Office Supplies,Fasteners,Janet Molinari,34,Middle-aged,Corporate,East,New York,New York City
2017-12-11,6,Standard Class,14985772.5,AT&T CL83451 4-Handset Telephone,Technology,Phones,Janet Molinari,34,Middle-aged,Corporate,East,New York,New York City
2017-06-17,1,First Class,3065832,Home/Office Personal File Carts,Office Supplies,Storage,Ted Butterfield,20,Young,Consumer,East,New York,Troy
2017-06-17,1,First Class,476280,Xerox 232,Office Supplies,Paper,Ted Butterfield,20,Young,Consumer,East,New York,Troy
